fold;intent;precision;recall;F1
1;INSURANCE.ADD_BENEFICIARY;0.6667;0.6667;0.6667
1;INSURANCE.CANCEL_POLICY;0.3333;1.0000;0.5000
1;INSURANCE.CHANGE_POLICY;0.5000;0.5000;0.5000
1;INSURANCE.FILE_CLAIM;1.0000;1.0000;1.0000
1;INSURANCE.GET_QUOTE;0.6667;0.5000;0.5714
1;INSURANCE.POLICY_INQUIRY;0.2500;0.5000;0.3333
1;INSURANCE.REMOVE_BENEFICIARY;0.5000;0.3333;0.4000
1;INSURANCE.REQUIRED_DOCUMENTS_INQUIRY;1.0000;0.6667;0.8000
1;INSURANCE.UPDATE_EXISTING_CLAIM;1.0000;0.6667;0.8000
1;INSURANCE.VIEW_CLAIM_STATUS;0.6667;1.0000;0.8000
1;INSURANCE.VIEW_INSURANCE_ID;1.0000;1.0000;1.0000
1;INSURANCE.VIEW_POLICY;0.0000;0.0000;0.0000
2;INSURANCE.ADD_BENEFICIARY;0.5000;1.0000;0.6667
2;INSURANCE.CANCEL_POLICY;0.1667;0.5000;0.2500
2;INSURANCE.CHANGE_POLICY;0.0000;0.0000;0.0000
2;INSURANCE.FILE_CLAIM;0.5714;1.0000;0.7273
2;INSURANCE.GET_QUOTE;0.3333;0.2500;0.2857
2;INSURANCE.POLICY_INQUIRY;0.2857;0.6667;0.4000
2;INSURANCE.REMOVE_BENEFICIARY;0.5000;1.0000;0.6667
2;INSURANCE.REQUIRED_DOCUMENTS_INQUIRY;0.0000;0.0000;0.0000
2;INSURANCE.UPDATE_EXISTING_CLAIM;0.0000;0.0000;0.0000
2;INSURANCE.VIEW_CLAIM_STATUS;0.0000;0.0000;0.0000
2;INSURANCE.VIEW_INSURANCE_ID;0.0000;0.0000;0.0000
2;INSURANCE.VIEW_POLICY;0.0000;0.0000;0.0000
3;INSURANCE.ADD_BENEFICIARY;0.5000;0.6667;0.5714
3;INSURANCE.CANCEL_POLICY;0.5000;0.5000;0.5000
3;INSURANCE.CHANGE_POLICY;1.0000;0.3333;0.5000
3;INSURANCE.FILE_CLAIM;1.0000;1.0000;1.0000
3;INSURANCE.GET_QUOTE;0.3333;0.5000;0.4000
3;INSURANCE.POLICY_INQUIRY;1.0000;0.3333;0.5000
3;INSURANCE.REMOVE_BENEFICIARY;0.3333;0.3333;0.3333
3;INSURANCE.REQUIRED_DOCUMENTS_INQUIRY;0.6667;1.0000;0.8000
3;INSURANCE.UPDATE_EXISTING_CLAIM;1.0000;0.3333;0.5000
3;INSURANCE.VIEW_CLAIM_STATUS;0.5000;0.6667;0.5714
3;INSURANCE.VIEW_INSURANCE_ID;1.0000;1.0000;1.0000
3;INSURANCE.VIEW_POLICY;0.2500;0.5000;0.3333
4;INSURANCE.ADD_BENEFICIARY;0.3333;0.6667;0.4444
4;INSURANCE.CANCEL_POLICY;1.0000;0.6667;0.8000
4;INSURANCE.CHANGE_POLICY;0.0000;0.0000;0.0000
4;INSURANCE.FILE_CLAIM;1.0000;1.0000;1.0000
4;INSURANCE.GET_QUOTE;0.5000;0.6667;0.5714
4;INSURANCE.POLICY_INQUIRY;0.6667;0.6667;0.6667
4;INSURANCE.REMOVE_BENEFICIARY;0.0000;0.0000;0.0000
4;INSURANCE.REQUIRED_DOCUMENTS_INQUIRY;1.0000;1.0000;1.0000
4;INSURANCE.UPDATE_EXISTING_CLAIM;0.8000;1.0000;0.8889
4;INSURANCE.VIEW_CLAIM_STATUS;1.0000;0.6667;0.8000
4;INSURANCE.VIEW_INSURANCE_ID;1.0000;0.7500;0.8571
4;INSURANCE.VIEW_POLICY;0.5000;0.6667;0.5714
5;INSURANCE.ADD_BENEFICIARY;1.0000;1.0000;1.0000
5;INSURANCE.CANCEL_POLICY;1.0000;0.5000;0.6667
5;INSURANCE.CHANGE_POLICY;0.6667;1.0000;0.8000
5;INSURANCE.FILE_CLAIM;1.0000;1.0000;1.0000
5;INSURANCE.GET_QUOTE;1.0000;1.0000;1.0000
5;INSURANCE.POLICY_INQUIRY;0.6667;1.0000;0.8000
5;INSURANCE.REMOVE_BENEFICIARY;0.5000;0.5000;0.5000
5;INSURANCE.REQUIRED_DOCUMENTS_INQUIRY;1.0000;0.5000;0.6667
5;INSURANCE.UPDATE_EXISTING_CLAIM;0.6667;1.0000;0.8000
5;INSURANCE.VIEW_CLAIM_STATUS;0.5000;0.5000;0.5000
5;INSURANCE.VIEW_INSURANCE_ID;1.0000;0.5000;0.6667
5;INSURANCE.VIEW_POLICY;0.5000;1.0000;0.6667
